[2026-02-20 17:59:32.684] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":60}
[2026-02-20 17:59:32.684] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":60}
[2026-02-20 17:59:32.686] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":61}
[2026-02-20 17:59:32.686] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":61}
[2026-02-20 17:59:32.689] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":62}
[2026-02-20 17:59:32.689] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":62}
[2026-02-20 17:59:32.811] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":63}
[2026-02-20 17:59:32.811] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":63}
[2026-02-20 17:59:32.815] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":64}
[2026-02-20 17:59:32.815] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":64}
[2026-02-20 17:59:32.818] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":65}
[2026-02-20 17:59:32.818] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":65}
[2026-02-20 17:59:32.822] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":66}
[2026-02-20 17:59:32.822] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":66}
[2026-02-20 17:59:32.825] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":67}
[2026-02-20 17:59:32.825] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":67}
[2026-02-20 17:59:32.826] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":68}
[2026-02-20 17:59:32.826] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":68}
[2026-02-20 17:59:32.831] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":69}
[2026-02-20 17:59:32.831] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":69}
[2026-02-20 17:59:32.833] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":70}
[2026-02-20 17:59:32.834] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":70}
[2026-02-20 17:59:32.837] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":71}
[2026-02-20 17:59:32.838] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":71}
[2026-02-20 17:59:32.839] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":72}
[2026-02-20 17:59:32.839] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":72}
[2026-02-20 17:59:32.843] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":73}
[2026-02-20 17:59:32.843] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":73}
[2026-02-20 17:59:32.847] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":74}
[2026-02-20 17:59:32.847] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":74}
[2026-02-20 17:59:32.848] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":75}
[2026-02-20 17:59:32.849] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":75}
[2026-02-20 17:59:32.853] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":76}
[2026-02-20 17:59:32.853] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":76}
[2026-02-20 17:59:32.854] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":77}
[2026-02-20 17:59:32.855] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":77}
[2026-02-20 17:59:32.860] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":78}
[2026-02-20 17:59:32.860] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":78}
[2026-02-20 17:59:32.861] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":79}
[2026-02-20 17:59:32.861] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":79}
[2026-02-20 17:59:32.866] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":80}
[2026-02-20 17:59:32.866] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":80}
[2026-02-20 17:59:32.867] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":81}
[2026-02-20 17:59:32.867] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":81}
[2026-02-20 17:59:32.868] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":82}
[2026-02-20 17:59:32.869] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":82}
[2026-02-20 17:59:32.873] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":83}
[2026-02-20 17:59:32.874] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":83}
[2026-02-20 17:59:32.875] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":84}
[2026-02-20 17:59:32.875] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":84}
[2026-02-20 17:59:32.881] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":85}
[2026-02-20 17:59:32.881] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":85}
[2026-02-20 17:59:32.883] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":86}
[2026-02-20 17:59:32.883] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":86}
[2026-02-20 17:59:32.887] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":87}
[2026-02-20 17:59:32.887] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":87}
[2026-02-20 17:59:32.889] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":88}
[2026-02-20 17:59:32.890] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":88}
[2026-02-20 17:59:32.893] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":89}
[2026-02-20 17:59:32.893] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":89}
[2026-02-20 17:59:32.896] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":90}
[2026-02-20 17:59:32.897] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":90}
[2026-02-20 17:59:32.903] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":91}
[2026-02-20 17:59:32.904] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":91}
[2026-02-20 17:59:32.907] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":92}
[2026-02-20 17:59:32.907] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":92}
[2026-02-20 17:59:32.908] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":93}
[2026-02-20 17:59:32.908] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":93}
[2026-02-20 17:59:32.914] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":96}
[2026-02-20 17:59:32.915] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":96}
[2026-02-20 17:59:32.916] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":97}
[2026-02-20 17:59:32.916] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":97}
[2026-02-20 17:59:32.917] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":98}
[2026-02-20 17:59:32.917] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":98}
[2026-02-20 17:59:32.921] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":99}
[2026-02-20 17:59:32.921] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":99}
[2026-02-20 17:59:32.924] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":100}
[2026-02-20 17:59:32.924] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":100}
[2026-02-20 17:59:32.924] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6}
